"id","source_website_address","city","zbkzj","kbjj","k1","k2"
"ah-luan-208b494e-bbd8-4070-aad4-400f12f659d8_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=208b494e-bbd8-4070-aad4-400f12f659d8&categorynum=001001012&relationguid=208b494e-bbd8-4070-aad4-400f12f659d8","六安市","4859729.82","4763137.88",,
"ah-luan-20de4170-7ecc-4e9a-9f5b-bd8410d68786_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=20de4170-7ecc-4e9a-9f5b-bd8410d68786&categorynum=001001012&relationguid=20de4170-7ecc-4e9a-9f5b-bd8410d68786","六安市","15144543.83","12948584.97",,
"ah-luan-20f964c4-1e6c-4f17-9a54-ff668972f00e_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=20f964c4-1e6c-4f17-9a54-ff668972f00e&categorynum=001001012&relationguid=20f964c4-1e6c-4f17-9a54-ff668972f00e","六安市","8539548.00","8425972.88",,
"ah-luan-2114ced3-b55d-4235-81ea-1230ad6d2f3c_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2114ced3-b55d-4235-81ea-1230ad6d2f3c&categorynum=001001012&relationguid=2114ced3-b55d-4235-81ea-1230ad6d2f3c","六安市","5417541.00","4448884.67",,
"ah-luan-2218ac43-13ed-41c5-8c90-273777fb4b34_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2218ac43-13ed-41c5-8c90-273777fb4b34&categorynum=001001012&relationguid=2218ac43-13ed-41c5-8c90-273777fb4b34","六安市","3712263.01","3637460.91",,
"ah-luan-229291f8-6cb0-40e0-83cf-17f8ce7c0e31_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=229291f8-6cb0-40e0-83cf-17f8ce7c0e31&categorynum=001001012&relationguid=229291f8-6cb0-40e0-83cf-17f8ce7c0e31","六安市","2754000.00","1000000000.0",,
"ah-luan-22f36c52-1d33-45ae-a54a-81fecb378ddc_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=22f36c52-1d33-45ae-a54a-81fecb378ddc&categorynum=001001012&relationguid=22f36c52-1d33-45ae-a54a-81fecb378ddc","六安市","9452768.04","8507491.24",,
"ah-luan-2325a88c-5673-4265-9d8c-39efe9a892c6_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=2325a88c-5673-4265-9d8c-39efe9a892c6&categorynum=001001012&relationguid=2325a88c-5673-4265-9d8c-39efe9a892c6","六安市","6470338.97","5500435.16",,
"ah-luan-244848a9-d071-4f75-ae80-2754b4387400_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=244848a9-d071-4f75-ae80-2754b4387400&categorynum=001001012&relationguid=244848a9-d071-4f75-ae80-2754b4387400","六安市","6000000.00","5473500.00",,
"ah-luan-24857295-a942-4e61-93d0-6440d5d6b696_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=24857295-a942-4e61-93d0-6440d5d6b696&categorynum=001001012&relationguid=24857295-a942-4e61-93d0-6440d5d6b696","六安市","14656568.00","11651971.56",,
