id,county,classify,project_type,title,zbkzj,kbjj,k1,k2,numbers_bidders,publish_time,source_website_address,trade_method
ah-huainan-70e56130-53ea-47ad-8387-34df1a25a299-1KB,,工程建设,建筑工程,隐贤镇包公村产业振兴基地,4180000.0,3811622.98,0.4,0.95,224,2023-07-05,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230705/70e56130-53ea-47ad-8387-34df1a25a299-1KB.html,
ah-huainan-711e6e17-29e3-4e74-a02a-5ad058cf637c-1KB,寿县,工程建设,公路工程,寿县丰庄镇2023年农村公路提质改造工程第二标段,2979471.5,2672452.32,-8.6,-11.8,254,2023-05-30,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230530/711e6e17-29e3-4e74-a02a-5ad058cf637c-1KB.html,公开招标
ah-huainan-71fba106-6abf-4efe-b44f-834b80944e75-1KB,,工程建设,建筑工程,九龙岗镇王楼粮食种子烘干仓储中心项目（一期）设计-采购-施工（EPC）总承包,5000000.0,4907648.11,1.0,,8,2023-03-13,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230313/71fba106-6abf-4efe-b44f-834b80944e75-1KB.html,公开招标
ah-huainan-7409a63f-0f2d-4626-aa8c-89b288c661a6-1KB,寿县,工程建设,公路工程,正阳关镇2023年农村公路提质改造工程第一标段,4022698.32,3519685.04,-11.8,-13.2,325,2023-04-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230406/7409a63f-0f2d-4626-aa8c-89b288c661a6-1KB.html,公开招标
ah-huainan-74cc3c92-b60d-441a-a220-abcd46421fe3,寿县,工程建设,水利水电工程,寿县2021年度高标准农田建设项目（第三批）第16标段,8298499.36,7878595.29,0.3,-2.0,502,2021-09-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211102/74cc3c92-b60d-441a-a220-abcd46421fe3.html,公开招标
ah-huainan-74cddea0-ad82-4479-a08d-879625ebd924-1KB,,工程建设,建筑工程,毛集实验区实验学校建设工程总承包EPC项目,188000000.0,180480000.0,0.0,,11,2023-07-11,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230711/74cddea0-ad82-4479-a08d-879625ebd924-1KB.html,
ah-huainan-754d1270-7960-4745-be82-59ba4b531e29-1KB,,工程建设,建筑工程,安丰塘初中、船涨学校、陶店小学教育强国推进工程第三标段,3150000.0,2956884.43,0.4,0.98,180,2023-06-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/754d1270-7960-4745-be82-59ba4b531e29-1KB.html,
ah-huainan-7755d0e9-d51d-4a34-a35d-3557b16d500d-1KB,市级,工程建设,公路工程,淮南市2023年普通干线公路养护工程检测项目,3058700.0,2869978.21,0.0,,4,2023-06-12,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230612/7755d0e9-d51d-4a34-a35d-3557b16d500d-1KB.html,公开招标
ah-huainan-77d09b52-6d41-49e4-9524-2ec1852d948b-1KB,,工程建设,建筑工程,贾庙中心村产业振兴基地（二期）项目,17766761.21,16078741.23,0.45,0.94,181,2023-06-29,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230629/77d09b52-6d41-49e4-9524-2ec1852d948b-1KB.html,
ah-huainan-77f9d695-adeb-4cde-a1b2-ec597cc42956,寿县,工程建设,水利水电工程,寿县2021年度高标准农田建设项目（第三批）第17标段,8298499.36,7878595.29,0.3,-2.0,504,2021-09-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211102/77f9d695-adeb-4cde-a1b2-ec597cc42956.html,公开招标
